Title,Region,Country,Language,Source URI
Tagesspiegel,Europe,Germany,German,tagesspiegel.de
Taz,Europe,Germany,German,taz.de
Telegraph India,Asia/Pacific,India,English,telegraphindia.com
The Australian,Asia/Pacific,Australia,English,theaustralian.com.au
"The Bell (business, online) – independent (outlawed in Russia)",Russia,Russia,Russian,thebell.io
The Daily Telegraph,Europe,UK,English,dailytelegraph.com.au
The East African,Africa,Kenya,English,theeastafrican.co.ke
The Economic Times,Asia/Pacific,India,English,m.economictimes.com
The Economist,Global,UK,English,economist.com
The Globe and Mail,Canada,Canada,English,theglobeandmail.com
The Guardian,Europe,UK,English,theguardian.com
The Guardian (Nigeria),Africa,Nigeria,English,guardian.ng
The Herald (Scottish),UK,UK,English,heraldonline.com
The Hindu,Asia/Pacific,India,English,thehindu.com
The Independent,UK,UK,English,independent.co.uk
The Irish Times,Europe,Ireland,English,irishtimes.com
The Korea Economic Daily,Asia/Pacific,South Korea,Korean,kedglobal.com
The Korea Financial Times,Asia/Pacific,South Korea,Korean,ft.com
The Korea Herald,Asia/Pacific,South Korea,English,koreaherald.com
The Kyunghyang Shinmun,Asia/Pacific,South Korea,Korean,khan.co.kr
The Mainichi,Asia/Pacific,Japan,English,mainichi.jp
The Daily Mirror,UK,UK,English,dailymirror.lk
The Nation,Asia/Pacific,Pakistan,English,nation.com.pk
The Nation,Asia/Pacific,Thailand,English,nationthailand.com
The National,Middle East,UAE,English,thenationalnews.com
The New Zealand Herald,Asia/Pacific,New Zealand,English,nzherald.co.nz
The News International,Asia/Pacific,Pakistan,English,thenews.com.pk
The Observer,UK,UK,English,theobserver.com
The Print,Asia/Pacific,India,English,theprint.in
The Punch,Africa,Nigeria,English,punchng.com
The Scotsman,UK,UK,English,scotsman.com
The Shinano Mainichi Shimbun,Asia/Pacific,Japan,Japanese,shinmai.co.jp
The Spectator,UK,UK,English,spectatornews.com
The Standard Kenya,Africa,Kenya,English,standardmedia.co.ke
The Star,Asia/Pacific,Malaysia,English,thestar.com.my
The Statesman,Asia/Pacific,India,English,thestatesman.com
The Straits Times,Asia/Pacific,Singapore,English,straitstimes.com
The Sun,UK,UK,English,thesun.co.uk
The Sunday Telegraph,UK,UK,English,telegraph.co.uk
The Telegraph,Asia/Pacific,India,English,telegraphindia.com
The Telegraph,UK,UK,English,telegraph.co.uk
The Times,UK,UK,English,thetimes.com
The Times of India,Asia/Pacific,India,English,timesofindia.indiatimes.com
The Times of Israel,Middle East,Israel,English,timesofisrael.com
The Times Scotland,UK,UK,English,thetimes.com
The Toronto Star,Canada,Canada,English,thestar.com
The Tribune,Asia/Pacific,India,English,tribuneindia.com
The Week,Asia/Pacific,India,English,theweek.in
UOL Notícias,LATAM,Brazil,Portuguese,uol.com.br
USA today,USA,USA,English,usatoday.com
Valor Econômico,LATAM,Brazil,Portuguese,valor.com.br
"Vedomosti (business, print/online) – ""semi-independent"" (working under censorship but not directly controlled)",Russia,Russia,Russian,vedomosti.ru
Washington Post,Global,USA,English,washingtonpost.com
Winnipeg Free Press (Manitoba),Canada,Canada,English,winnipegfreepress.com
XinhuaNet,Asia/Pacific,China,English,xinhuanet.com
Yomiuri Shinbun,Asia/Pacific,Japan,Japanese,yomiuri.co.jp
AEF Info,Europe,France,French,aefinfo.fr
Sustainable views,Europe,UK,English,sustainableviews.com
IOL,Africa,South Africa,English,iol.co.za
Premium Times,Africa,Nigeria,English,premiumtimesng.com
The Tribune,Africa,Nigeria,English,tribuneonlineng.com
The Africa report,Africa,Pan-african,English,theafricareport.com
African Business,Africa,Pan-african,English,african.business
DR,Europe,Denmark,Danish,dr.dk
Politiken,Europe,Denmark,Danish,politiken.dk
Berlingske,Europe,Denmark,Danish,berlingske.dk
Dagens Nyheter,Europe,Sweden,Swedish,dn.se
YLE,Europe,Finland,Finnish,yle.fi
Helsingin Sanomat,Europe,Finland,Finnish,hs.fi
